index,H1,DBC,EC,HFF,NPC,TB
CD109,0.15581606,0.13749552,2.160324,4.340601,0.109121606,0.071464024
CD163,9.901693e-06,0.0899073,0.004770812,0.0,0.0,0.0
PHYHIPL,0.004350401,0.08845683,0.0,0.0,0.023976257,0.049758073
OR9A4,2.171897e-05,0.0,0.0,0.0,9.2416354e-05,0.0
CDH1,1.8857523,0.4282378,0.16053247,0.123398006,0.16534007,5.4228096
TMIE,0.00044634446,0.010872285,0.0011725012,0.0014867035,0.0,0.0
APOA2,0.0012042773,1.045434,0.0,0.0,0.0,0.0
GAGE12D,0.0,0.0,0.0,0.0,5.1918913e-05,0.0
USP29,0.009259499,0.010952101,0.012503804,0.012212893,0.0129136,0.011551858
TTLL2,0.0012197953,0.0044607474,0.016120527,6.108303e-05,4.486081e-05,0.00084211706
GBP5,0.09532785,0.1871392,0.12575081,0.076190285,0.13512842,0.12095454
ITGA5,0.18157117,2.117418,2.8031816,2.35044,0.64778215,0.14510511
ANKRD16,0.0821325,0.102620676,0.10063694,0.098636776,0.119795255,0.107854836
KCNIP2,0.025652986,0.00081100385,0.006653377,0.007835598,0.0946538,0.0
CLCC1,0.6130222,0.7331718,0.76583934,0.88086426,0.7901804,0.7617672
CNFN,0.043122243,0.0120161595,0.008254395,0.011040853,0.038411,0.0125281885
MAP1A,0.11008355,0.009201916,0.022938792,2.9051669,0.3526354,0.4436447
NDUFAF2,0.5399077,0.2732929,0.1571243,0.5131542,0.29793814,0.15620838
TAT,0.06415597,0.068226,0.08015081,0.049768448,0.088158466,0.06491135
EFHB,0.0009678158,0.00014910377,0.0012527715,0.0036601631,0.02742984,0.0074477317
SIRPD,0.0,0.00061913964,0.0,0.0,0.0,0.0
WNT5A,0.13642177,0.6005753,0.23061281,6.112366,0.34540787,1.5971118
TNC,0.057393923,0.76230794,0.52385306,2.545597,0.44052133,1.7295853
HBP1,0.80862343,0.71685755,1.7583373,2.040924,1.6149225,1.1660348
VAMP2,0.02739478,0.067836836,0.030249797,0.06872125,0.07847518,0.12095682
TLL2,0.08705061,0.1485787,0.19321276,0.14993605,0.14092407,0.20181806
KLK6,0.0141164595,0.0,0.0,0.0,0.0057883416,0.3118269
MTRNR2L6,1.3989142,1.3046967,1.7061551,1.1018243,1.2284871,1.0314847
GPC3,0.5850624,0.15180562,0.45979652,0.0017261561,9.002614,1.2752419
OR2T3,0.0,0.0,0.0010019698,2.819836e-05,0.0,0.0
CCDC105,0.00014110861,0.0,0.0,0.0,0.0,0.0
ITGAD,7.962893e-05,0.0,6.183163e-05,0.0,0.0,0.0
HSH2D,0.15661295,0.1736626,0.163343,0.121024236,0.14827886,0.1611233
DCP2,6.7105203,2.4364357,3.3752928,0.79748493,7.469498,4.4181714
C3orf71,0.062783726,0.05653787,0.05339614,0.06540045,0.07851394,0.06480828
FABP5,3.621066,2.0008023,0.35445172,0.45941302,0.8334488,0.16500802
GABRB3,1.945045,1.5120021,0.028303407,0.0064028148,0.20317975,0.20721434
RCSD1,7.975996e-06,0.06557703,0.4860827,0.0,0.0013823484,0.00014571367
ARHGAP24,0.0016757618,0.34423664,0.31758958,0.4298706,0.25139025,0.09386616
C20orf173,0.0,0.0,0.0,0.0,5.8264854e-05,0.0
ICAM2,0.006973055,0.01505368,2.1733449,0.0,0.0,0.0
GJD4,0.012087877,0.021827597,0.025644112,0.019349048,0.028998198,0.022978898
HSD17B2,0.0014018615,0.0046951426,0.0,0.14170748,0.01557906,0.0
PCDHB9,0.105750285,0.09919617,0.15754464,0.06967196,0.12981683,0.1539124
DSG3,0.15687162,0.09990284,0.17665368,0.101890646,0.12803663,0.12902412
KPNA2,20.80847,5.813394,4.9092264,4.539901,17.509169,3.7514446
PTTG2,6.482122e-05,0.00017884184,2.9753023e-06,9.546022e-06,1.4627681e-05,0.0
CDHR4,5.8627505e-05,0.0,0.00016705693,0.0006569616,0.0,0.0
ARID5B,0.07831132,0.58541065,0.90519387,24.952898,0.45584935,2.4414644
SLC5A9,0.00066494395,1.0345287,9.3388386e-05,0.00012055168,0.002055452,0.0
ATP12A,0.004420392,0.2617692,0.0,0.0,0.0,0.0068239896
CPA6,0.00023408204,0.003961869,0.0,0.0139020085,0.0,0.0
TMEM130,0.084574,0.09341448,0.09906195,0.08821268,0.13053265,0.13792063
SPRYD7,0.20083757,0.26608455,0.29804906,0.44332218,0.30862874,0.40861383
FAM180A,5.3280775e-05,0.00021319847,5.94395e-05,0.046211053,0.00029139183,0.00014204287
SLCO1A2,0.36892724,0.3701164,0.2607897,0.11286094,0.34106898,0.2504075
MTHFD2,4.657956,1.854618,0.61481947,1.8092554,1.0925837,1.4233401
