index,H1,DBC,EC,HFF,NPC,TB
CT47A6,0.0,0.0,0.0,0.0,0.00033935206,0.0
COX6C,1.3333582,1.5142106,1.6625056,1.6588871,1.4380759,1.9758518
FAM82A1,0.0754378,0.1952907,0.0014996241,0.12114958,0.073510095,0.11493187
PPARA,0.22777039,0.3193426,0.51164263,0.5976768,0.39589286,0.51398945
ANXA4,0.13980655,0.15959704,0.15378308,1.7196579,0.029866131,0.968817
ITGA10,0.0007425879,0.0012659888,0.4810542,0.0029137037,0.00032278843,0.0
LOC646851,0.37901348,0.5057694,0.5252057,0.4637766,1.0117164,0.61291873
ZNF835,0.11930848,0.15282984,0.13550465,0.09781611,0.16192964,0.17571357
CPA5,0.0,2.8207243e-05,0.0,0.00015623888,0.0,0.0
JAK1,0.29672495,0.30947095,1.2692853,2.1651978,0.13433596,0.27267808
CTXN3,0.0005320353,0.0,0.0,0.0,8.678105e-06,0.0
TPTE,0.012923405,0.010409064,0.013232851,0.0032471425,0.01894044,0.014003522
CYTIP,0.00037914416,0.010683056,0.0,1.0681827e-05,0.000998668,0.017382331
PDE4B,0.16214043,0.15163364,1.1278996,0.28487906,0.026375415,0.0005113965
ACSM2A,0.0077958703,0.020634973,0.01327976,0.013308616,0.01639825,0.016055949
GIMAP8,0.0021983802,0.0050037997,0.28153604,0.00250265,0.004764004,0.0033888626
FAM48B2,0.0014422273,0.00088825246,0.020166533,0.0,0.00013169892,0.0
KLK7,0.0581413,0.042457778,0.04857675,0.038652442,0.052714154,0.07126615
NDUFA7,0.3856269,0.3944061,0.29554448,0.37867153,0.3412814,0.47968757
FGF21,0.0008091568,0.0039221086,0.0,0.0,0.0,0.0
LCE3A,7.017703e-05,0.0,0.0,0.0,0.0,0.0
CDCP2,0.0,0.0,0.0,0.0,0.00043563588,0.0
TEKT3,0.010119134,0.00047295156,0.03814155,0.0006206527,0.0067233117,0.018787675
TNXB,0.0024720945,0.0022145018,0.09416807,0.039929792,0.008444581,0.0019279103
NANOG,2.5822396,0.69675016,0.2084228,0.07160094,0.19753094,0.11076631
UGT2B17,0.0,2.3274892e-05,0.0,0.0,8.475591e-05,0.0
SDK2,0.024143567,0.26901862,0.0021062316,0.0012315307,1.7619054,0.046650954
GTF2IRD2B,0.033488985,0.0632809,0.045521356,0.051677313,0.08346656,0.099618755
GPR110,0.061070077,0.077828966,0.07489468,0.03139009,0.11016159,0.07197332
PATE3,0.00069064583,0.0,0.0,0.0,2.1948104e-05,8.5251915e-05
MID2,0.010682808,0.19860457,0.03129852,0.11437921,0.0047304635,0.0049818796
MSANTD1,2.867245e-05,0.0,4.394379e-05,0.0,0.00026160828,0.0
ATP1B4,0.08006403,0.10954111,0.10138762,0.09748702,0.113918275,0.09859147
NR0B2,0.0,0.0,0.00028846928,0.0,0.0,0.0
GPX6,2.8762333e-05,0.0002955578,8.0458005e-05,0.0,5.8189413e-05,0.0005545315
THRB,0.01603318,0.00022766404,0.0028512469,0.18516631,0.00044467123,2.2326121
TAPBP,1.0160769,0.35266915,3.7554295,5.8789043,0.60331887,1.4774439
TXNDC2,0.0,0.0008892984,0.0,0.0,0.0,0.0
PLVAP,0.0005915889,0.07135573,2.2448158,0.0,0.00034042122,0.0
PROM1,0.933813,0.18115574,0.0067010773,0.0018671262,0.7461152,0.12300035
EXOC3L4,0.0003589661,0.0,0.0,0.0,0.0,0.0
JAK2,0.025571289,0.07578439,0.17711003,0.124430254,0.08059084,0.19940068
TAS2R38,0.0,0.0,0.0,0.0,0.00019987066,0.0
SLC7A3,1.8703493,0.92550373,0.052169323,0.0,0.29136658,0.00023351455
CACNA1S,0.0001253266,0.0,0.0,0.0,0.0001464245,0.0
MEX3D,0.08282829,0.22355287,0.14098157,0.05227631,0.15902746,0.099254996
KCNT1,0.0,0.0,1.2460646e-05,0.0,0.0,0.0
HGF,0.0008025241,0.0037084469,0.0,0.14820261,0.0057872897,0.0
BAX,0.032252762,0.06885797,0.08731245,0.05511387,0.028921263,0.028795887
PLCG1,0.19733927,0.2569596,0.3119734,0.09415494,0.2852066,0.1348859
ZNF674,0.22947778,0.23225063,0.31407332,0.23922808,0.30363,0.28760654
DPP10,0.032332912,0.37268165,0.013980031,0.0002404345,0.016529271,0.106915615
KLHL38,0.0,0.0,0.0,0.0004021375,0.0,0.0
PELI2,0.45790493,0.20398961,1.1576338,0.393346,0.97275126,0.05691999
KLRD1,0.5130233,0.90145975,0.85980797,0.7259784,0.8633641,0.92417353
ACBD7,0.46071523,0.61694217,0.6910489,0.60640347,0.8542659,0.7143475
IRF2BP2,0.9323686,0.7167563,2.6860206,3.0151243,1.2304624,1.1105204
CCBP2,0.067369714,0.12746477,0.14520007,0.09322386,0.13027015,0.26307502
LDHAL6A,0.06101484,0.07884241,0.11002339,0.082957715,0.11076387,0.114736035
HNRNPUL1,0.261943,0.34925687,0.26381543,0.29436517,0.43506014,0.3589983
IZUMO4,3.1297746e-05,4.2065996e-05,1.6337568e-05,2.5756994e-05,0.0003109534,0.0004617486
BICC1,0.011136209,0.001065529,0.0,0.456678,0.009264178,0.019666437
DDX51,0.32549387,0.4237952,0.33030367,0.2597193,0.41620094,0.31532583
ASPM,1.8625286,0.81229967,0.7880733,1.0562795,4.422544,0.286273
CYTH4,0.0,0.0,0.0,0.004530013,0.0,0.0
POLR2J,0.77015376,0.8252087,0.5396452,0.7132508,0.713564,0.71258503
RBM34,0.9442229,1.0000106,0.4959348,0.51102096,0.736786,0.766127
COX6B2,0.094790705,0.093749896,0.11035979,0.10391925,0.121236846,0.10749903
PDDC1,0.77649295,0.856225,1.0336185,0.7842447,1.120892,0.9565524
KLF10,0.39365402,0.31500068,1.0799675,0.90977466,0.2533377,0.11611806
DAZ1,0.00019407402,0.0,0.0,0.0,0.0,0.0
LILRB5,0.0,0.0,4.6846726e-05,0.0,0.0,0.0
CCNB3,0.026336737,0.0,0.0,0.010830395,0.03027904,6.4824395e-05
MFSD4,0.041505143,0.04363521,0.06905912,0.040365886,0.06542412,0.064028494
HTN3,0.0,0.018848028,0.0,0.0,0.0,0.0
BNC1,0.00075290113,0.009711951,0.100945145,0.025738057,0.0031402945,0.27792495
PTPRM,0.040092815,0.28564152,1.0763841,0.33231264,0.08879247,0.08323287
MEF2C,0.025637193,0.006258987,2.792762,0.15455021,0.12687288,0.005068857
ZWINT,2.169633,0.9324144,0.22366762,0.3302603,1.3587016,0.3458043
CEBPE,0.0,0.0010042279,1.8561881e-05,0.0,2.141513e-05,0.0
PCDHA9,0.109828375,0.13250649,0.15308489,0.079755835,0.19585603,0.2259458
FAP,0.0,0.0,0.0,3.0762188,0.015455099,0.02219128
APOL4,0.23458505,0.4365889,0.402351,0.24427241,0.29581085,0.24264728
FNDC1,0.00058973004,0.012100535,0.0,0.03367879,0.0,0.0
RUNX1,9.8746044e-05,0.07587199,0.097115226,1.0549785,0.00037831787,0.03341154
BHMT2,0.15754576,0.16418397,0.22355294,0.4642801,0.21164423,0.20833007
APOPT1,0.30228853,0.41208574,0.50078756,0.42407602,0.42724597,0.42307177
GDNF,0.048815027,0.10745828,0.09492684,0.076721124,0.09855879,0.12297223
CHRM2,0.00083073304,0.0027718884,0.0016011706,0.5566785,0.0025165407,0.001270845
LOC100329135,9.395819e-05,0.0,0.0,1.3257446e-05,1.3137811e-05,0.0
PTCRA,0.0,1.17676755e-05,0.0,0.0,0.00071569893,0.0
BSG,1.2030375,1.5416982,0.90980273,1.0750943,1.8736398,1.1422602
FRA10AC1,0.2400497,0.34754926,0.41994023,0.24611495,0.35133475,0.45520994
C1QTNF9,0.03489768,0.0766737,0.056954164,0.050334312,0.07332159,0.063980296
SF3B14,1.3209469,1.3674176,0.95620567,1.409254,1.3553832,1.6226403
RD3,0.031058548,0.037556376,0.044315714,0.029395457,0.08422063,0.04456895
ADAMTS18,0.0123276105,0.107802264,0.004716504,0.0,0.23145539,1.8773499
SERPINB6,0.34756064,3.881655,2.5269103,3.3803904,0.39560202,0.43686572
SEPT14,0.08534176,0.0981547,0.16162904,0.07248206,0.12153938,0.09071883
C1orf141,0.0075727683,0.00851782,0.01779889,0.011376061,0.013452651,0.012173425
MCM5,2.0000966,0.49115008,0.09480491,0.19771738,0.6374074,0.37787235
MRPL54,0.19759929,0.14337942,0.08230816,0.17090356,0.13482724,0.1284423
SRY,0.006811281,0.14446436,0.000662857,0.0,0.0010355578,0.0
PCDH18,0.3409873,0.058632042,0.30009663,2.096409,0.9877658,0.71100616
ZNF99,0.07303122,0.06438543,0.070150085,0.044557594,0.08504811,0.06850228
SRPK3,0.00014577124,0.0,0.0,6.557304e-05,7.9982885e-05,0.0
LYPD4,1.703069e-05,1.1852447e-05,0.008590023,0.0,0.00016328432,0.0
TDGF1,17.806564,16.531715,0.06434485,0.037742365,0.04940141,0.2091342
ARHGAP28,0.13810633,0.7880487,1.7457963,0.10930461,0.26889825,0.4117869
MEPE,0.0015621445,0.11228682,0.0,0.0,0.0,0.013423091
DRAM1,0.0543082,0.11139224,0.74732536,2.054844,0.13691853,0.13460521
GRHL3,0.004507067,0.017284615,0.0,0.0,0.040218566,0.0
OR13F1,0.0,0.0,0.0,0.0,0.00071320904,0.0
DPCR1,0.00022355799,0.0,0.0,0.0,0.0038951633,0.0
MARCH8,0.07058041,0.07431069,0.10874321,0.1135729,0.10960883,0.1333241
BMP8A,0.17636879,0.43240204,0.25465545,0.19727306,0.33848578,0.26772323
COX17,0.38663763,0.6602356,0.15861484,0.14762716,0.26807815,0.4988104
LMX1A,0.0,0.009030408,0.0,0.0,0.40493557,0.040838443
ALPK2,0.0013063035,0.22508448,0.0,1.336332,0.2410218,1.3622085
NUPR1,0.0043813726,0.0012147438,0.0,1.6609328,0.0029646948,0.0
KLF9,0.013481511,0.007001279,0.0,0.69358057,1.9520656e-05,0.030287614
SQRDL,0.004623018,3.8157097e-05,1.5089462e-05,1.052611,0.0120908115,0.03453981
CFI,2.5313177e-05,0.0,0.0,0.18826593,0.01377983,0.0
ADAMTSL5,0.04519748,0.08228641,0.087421924,0.13623023,0.089806944,0.11208748
SLC15A1,0.1283463,0.08369527,0.0868656,0.06580939,0.12075866,4.7394524
COL11A1,0.09597101,0.11958946,0.18137757,1.3501929,1.3648548,0.16993392
RGAG1,0.0022695903,0.0481607,0.0,0.00017071511,0.0014963099,0.0
SPOCK2,0.004418455,0.0099323895,0.020324133,0.0,0.0015304027,0.0013670534
NRK,0.05877542,0.18876025,0.0076023643,0.0,0.0,0.43396512
TNFSF9,0.0057737343,0.026734844,0.030036166,0.021710219,0.01315147,0.0103866
CSAD,0.11095144,0.28217292,0.18214196,0.20728299,0.2871703,0.2690487
PABPN1,0.03034934,0.022203293,0.011424612,0.010282142,0.05092057,0.020953434
FGFBP2,0.00023541957,0.011338623,0.0,0.0,0.0002855182,0.0
AWAT2,0.0,0.008715453,0.0,0.0,0.0002666638,0.0
POLR1B,1.0796919,0.22807169,0.20059456,0.18230207,0.28655562,0.17953992
ZNF41,0.0504227,0.03374306,0.07667605,0.03593436,0.040173206,0.07985979
FBXL21,0.0023679796,9.231165e-05,0.0,0.0,0.0,0.30601695
ANXA1,0.038816776,0.17460893,0.45954615,19.033573,0.52707106,10.085771
NT5E,0.0055974345,0.0,0.7288254,1.3760239,0.0,0.031250842
ITGA8,0.0,0.0,0.1742782,0.017830059,0.014333237,0.0
PPARGC1A,0.015638,0.3494314,0.1030644,0.09964109,0.043755308,0.069000565
KRTAP1-5,0.0,0.0,0.0,0.21251847,0.0,0.0
TCEB3CL,0.000121973004,0.0,9.223399e-05,0.0,0.0,0.0
MAMLD1,0.00015970897,0.019367132,0.057519626,0.1684821,0.009793794,0.03877948
EPB41L3,0.041329704,0.34785837,0.1386932,0.074091606,0.009421072,1.6060464
BHLHA15,5.850802e-05,0.0,0.0,0.0,0.0,0.0
SH2D4B,6.6360226e-05,0.00641852,0.008508109,0.0,0.00010820213,0.0
TSC1,0.96712315,1.2359818,2.3723612,1.7082293,1.6902713,1.2266012
LNX2,0.25361282,0.27703705,0.28870654,0.15272564,0.26607424,0.31746462
FGF14,0.00022021773,0.00589072,0.0,0.041821446,0.027766459,0.029531943
H6PD,0.1946348,0.32849416,0.368614,0.5453031,0.41114238,0.43600988
RPL26L1,0.49072886,0.5250561,0.36956954,0.64237225,0.3186286,0.44036636
TMEM229B,0.0021406498,0.0,1.0550154e-05,0.01774045,0.0005313183,0.0
AQP10,0.000563374,0.0,0.0,0.0,0.0,0.0
MAGEB1,0.0,0.00021322398,0.0,0.0,0.0,0.0
EPHA7,0.05179665,0.021296637,0.041094676,8.326314e-05,1.3036495,0.005334122
C12orf75,0.04804587,0.05187269,0.06189416,2.7530918,0.05735135,0.8185369
ZNF416,0.05698908,0.09347101,0.118192725,0.0761582,0.031995323,0.024234498
LIPH,0.0022581923,0.025174974,0.078083,0.008725024,2.6975898e-05,0.0
TNFSF14,0.062199175,0.08363225,0.07273558,0.064364,0.085477754,0.07058847
RNF222,0.06562739,0.06426242,0.08477033,0.05780871,0.07472437,0.066133305
ST8SIA4,0.09777959,4.4819517,2.729901,0.10550377,0.24689706,0.1262967
OPRM1,0.0111756995,0.014834919,0.015584558,0.010106869,0.019817747,0.0183907
LOC440335,0.004785561,0.0055875927,0.0070266267,0.0046929982,0.00623623,0.008870456
APCDD1,0.010242294,0.124515675,0.04957465,0.806853,0.0946331,0.0017588804
IFIT3,0.06091357,0.044868514,0.9450743,0.8976117,0.057192273,0.091395006
B4GALT5,0.56364435,0.4697777,0.90936214,0.48057035,0.7174725,0.924646
RPS17,1.6527759,1.0722624,0.5153653,1.1789048,1.5355574,1.6545153
CTSB,0.50850874,2.102544,3.6292722,13.994138,1.4261858,2.8781073
SNX20,0.058008924,0.07095017,0.09461578,0.06798247,0.10607761,0.08269313
CXCL2,0.006918969,0.00047702677,0.31258073,0.0049958383,0.0015671215,0.008579603
IL10,0.10692526,0.12015672,0.17306651,0.13296816,0.15458459,0.15940392
EEF2,1.4215589,1.3591174,0.8084952,1.814031,1.619634,2.8232512
ASB18,0.00014760277,0.0,0.0,0.0,0.00032487386,0.0
KCNJ15,0.0,0.0,0.08043446,0.017670063,0.0,0.24331084
PCDHB8,3.4944736e-05,6.6832676e-05,3.2421573e-05,0.0,0.0003661181,8.951735e-05
UGT2A3,0.0,0.0,0.0,0.0,2.097613e-05,0.0
ILDR1,0.030537864,0.03628963,0.04064715,0.031550247,0.03999172,0.05425398
GNG12,0.64775807,0.37194332,0.45318922,3.8315299,0.551842,0.68694484
BCMO1,0.0013313197,0.0,0.00010097139,0.0037589467,0.07261633,0.0
RECK,0.055965982,0.1612917,0.6967914,1.5953606,0.089566804,0.01528175
XKR4,0.0,0.002718922,0.21206026,0.0,0.00597693,0.110052496
NEDD9,0.11341183,0.49565157,0.5327412,0.25597176,0.55951804,0.7834574
RIMS2,0.33140495,0.11295637,0.066307425,0.015257712,0.13896458,3.9868226
TRIM49L1,0.0,0.0,0.0,0.0,0.0004859178,0.0
SSBP2,0.3995967,0.26945674,3.1716056,1.0693103,3.026609,1.650308
TSR1,3.224279,1.008667,0.6471199,0.61899334,0.9431325,0.7715068
IL26,0.0,1.0488414e-05,0.0,0.0,0.00025639674,0.0
PYHIN1,0.0,1.7362212e-05,0.0006671942,5.3677555e-05,2.6076386e-05,9.148143e-05
NDUFS6,0.72385925,0.42727298,0.2554932,0.35284463,0.47439972,0.395416
RGS18,0.0001219986,0.004452664,0.0,0.0,0.0,0.0
TAS2R40,0.0,0.0,0.0,0.0,8.0885686e-05,0.0
KIAA0494,0.47507647,1.3117293,3.8588138,1.073649,0.38658053,0.62261736
DISC1,0.10813649,0.17612275,0.25165775,0.10904774,0.1121152,0.14507292
MYB,0.010475559,0.016209422,0.32326514,0.0014520969,0.016585618,0.004413184
C9orf72,0.6638253,0.5411852,1.9144763,0.17430285,2.1523473,1.2766473
BEST1,0.0010872408,0.000947659,0.0,0.026076566,0.0043894523,0.0
C10orf62,0.00030419868,0.0,0.0,0.0,5.2290437e-05,0.0
ALPP,0.06870747,0.028247459,0.021438193,0.014226333,0.026898827,0.02155117
MAP3K5,0.007930981,0.00920069,0.05298969,0.33674836,0.0062455027,0.028477227
TREX2,6.6305465e-06,0.0,0.0,9.303221e-05,0.0,0.0
PAX6,0.012875345,0.89559245,0.00057136343,0.016151223,7.7594557,0.0
FAM48B1,9.0766815e-05,2.9625635e-05,2.153735e-05,6.869722e-05,0.0005613513,0.00012607187
LGI1,0.0008331959,0.08647518,0.0020656225,0.0,0.35833222,0.044013478
ARHGAP40,0.00061467144,0.2492463,0.022187345,0.00038765988,0.0,0.07803359
MUM1L1,0.03113143,0.42470685,0.030532332,0.0025104508,0.10030771,0.06653058
OR2L3,0.00010765347,0.0,0.0,0.0,0.0,3.0619303e-05
SIRPB1,0.0024253994,0.0040105614,0.0027386232,0.004595819,0.0040105297,0.0049041985
NNAT,0.2384828,0.320882,0.24483514,0.0006416816,2.749129,0.20586689
GLIPR2,0.11155176,2.0180192,0.07305976,0.85869414,0.30789208,0.15010062
MRPS36,0.36416438,0.3263701,0.25847253,0.37477586,0.26754373,0.51483315
XKR9,0.463453,0.48262385,0.8350305,0.48022074,0.5429637,0.78437
KIF4A,0.72359806,0.40095112,0.2652537,0.23452085,1.5593864,0.28925723
EDEM1,0.48420477,1.0112098,1.9166459,3.2189715,1.0147014,1.0239041
UPP2,0.06917953,0.023820804,0.011021552,0.010656986,0.015021539,0.0141696185
MT2A,0.041246828,0.091777995,0.016572326,3.4993773,0.0037226132,0.023747837
SLC46A3,0.0022156285,0.260837,0.67887294,0.0120265195,0.0,0.046457157
SLC14A2,0.20261264,0.26830062,0.3055616,0.2191523,0.30418536,0.26561227
CD36,0.02910754,0.032154106,0.046675228,0.02863116,0.050373927,0.07755967
SAA2,0.11264203,0.24413626,0.25430635,0.14976144,0.23485534,0.28678876
AURKAIP1,0.45960888,0.4501252,0.1478635,0.2674501,0.39186254,0.7409069
PALMD,0.0021522965,0.07641439,0.0036859477,0.0021649115,0.0,0.0
TCF21,0.002202594,0.018337255,0.00014494125,0.07736789,0.0004041704,0.022649853
KCNJ2,0.04337174,0.092104636,2.98046,1.0019814,0.11556817,2.4081225
ANKLE1,0.1899401,0.30122948,0.29700142,0.23006122,0.2835373,0.31288788
SPDYE3,0.039403215,0.04373402,0.049476337,0.05795946,0.15167566,0.04508959
VIPR1,0.0089187585,0.067545034,0.0012987478,0.0,0.00030181918,0.0009035963
ZNF676,0.003245952,0.0026147128,0.0014429061,0.0007045203,0.004113376,0.0025436692
GH1,0.00029905865,0.0,0.016264854,0.0,1.198545e-05,0.0
ZNF146,3.5383685,1.5233226,1.5226077,1.1443156,2.6092942,0.82580453
CD24,21.842241,3.546904,8.013497,0.08042234,4.833863,4.3899193
ERMAP,0.0326275,0.026057623,0.05025534,0.27834472,0.11620677,0.104114346
ANK2,0.6223936,0.68299425,0.19512734,0.21840596,1.9907289,0.11026452
LOC100288520,0.0,0.0,0.00013583111,0.0,0.00019248329,0.0
SPARC,2.522436,7.166905,12.392871,18.349615,3.166029,18.38392
FZD6,0.19180314,0.2346823,0.3800683,0.47699708,0.2901765,1.9624813
CD4,0.060811,0.0046754023,0.017849836,0.00033731252,0.15572542,0.0008497899
CELA2A,0.0,0.0,0.0,0.0,0.0001815874,0.0018214207
USP31,1.0211096,0.8480338,4.9543886,0.57096267,1.2073882,0.2610935
RBMS3,0.073183656,0.24314508,1.3630159,3.6045332,0.08448358,0.6487942
ZIC2,4.7376075,5.525058,0.009450127,0.0,10.431273,0.0
HTR2A,0.013166984,0.018618638,0.029613575,0.018153457,0.03155814,0.018165043
SLC1A1,0.05362825,0.5374215,0.14531738,0.045758445,0.03512902,0.06986296
ADAMTS3,0.036926277,0.10162723,0.103102356,0.022007752,0.09456416,0.08479243
APOC4,0.009447224,0.014920437,0.015604502,0.014490804,0.017434707,0.021602951
NDUFB10,0.85318106,0.8355163,0.37059918,0.7847189,0.63917756,0.6992695
AFAP1L1,0.090894125,0.053753134,3.2770474,0.03869439,0.033535417,0.14657551
ZNF436,0.010199991,0.0632015,0.25502157,0.17363293,0.30358535,0.14600992
EPAS1,0.005211803,0.018429616,0.23525776,0.89247966,0.004973812,6.2239046
ZNF671,0.08191933,0.10073765,0.38756275,0.11873297,0.13478883,0.15425366
C2,0.0002782687,0.0014153846,0.0,0.027197495,0.00055909675,0.0032505656
ZKSCAN3,0.7695067,1.0000166,1.05113,0.8968384,1.251734,1.3680983
IQUB,0.01406443,0.012650164,0.012573138,0.0013583552,0.047855403,0.07248268
CDKN1A,0.037593108,0.15431198,0.32743338,2.4800036,0.0477585,0.28348145
FLJ23152,0.0,0.0,0.0,0.0,6.261805e-05,0.0
LOX,0.008333344,0.14409757,0.038165126,2.9582102,0.029416647,0.036370862
ELTD1,0.02255212,0.037301235,7.050004,0.12213536,0.0033744148,0.055709504
FAM70A,0.0029744816,0.030553296,0.0,0.0089429775,0.095871225,0.0
ATAD3C,0.18238768,0.26883972,0.4246377,0.16948283,0.22325672,0.2033946
AMN,0.0,0.0005473694,0.0,0.00019986302,0.0,0.0
NKX2-1,0.0,0.066742636,0.0,0.0,0.0,0.0
KRTAP5-9,0.0,0.01172447,9.6250784e-05,0.0,1.6052816e-05,0.0
G6PC,0.034938045,0.03684029,0.052421127,0.04309554,0.059456,0.048505303
GREM1,0.0006451633,0.02216048,1.5089462e-05,4.145174,0.35400057,0.011899828
C4A,0.00095217384,0.0026230798,0.07465219,0.012576309,0.0008245913,0.01256972
CARTPT,0.0,0.0,0.13931957,0.0,0.0,0.0
FXYD6,0.58670276,0.33867365,1.111239,2.7679136e-05,2.2411356,0.13706753
LOC100293534,0.00033390694,0.0,0.017087307,0.0,0.0,0.0039907554
CRX,0.17161311,0.18058561,0.22840954,0.15873049,0.24237987,0.20728715
PMP22,0.018418808,0.7790457,9.742433,2.9630394,0.33899117,0.9887818
YIPF7,0.0,2.908238e-05,0.0,0.0,0.00035519307,0.00053387193
HABP2,0.0,0.00044991812,0.0,0.0,2.7943914e-05,0.0
TMEM120B,0.5724963,0.78802836,0.62231576,0.51798296,0.5869504,0.6127381
OR2A2,0.00050814013,0.0,0.034246724,0.0,0.0,0.0
SAA4,0.0,0.0,0.0,0.0,0.00033826163,0.0
KAT7,2.9106889,0.56015784,1.293508,0.35973692,1.2943444,0.70058656
GTF2H5,0.35077056,0.92116654,0.59231746,0.97754014,0.74198806,0.809339
RNF183,0.0,0.0,0.0,0.00028163588,0.0,0.0
TAS1R1,2.9516896e-05,3.382808e-05,0.0,0.00043758636,0.007114522,0.0
IL11,0.032563087,0.045420296,0.050104667,0.033994667,0.054747894,0.046098202
CKAP2,1.5609832,0.82232887,1.0516734,0.58399385,3.746848,0.827073
LILRB1,0.03454159,0.04120502,0.047182497,0.041642528,0.04652115,0.050777208
LOC100505478,0.0,0.0,0.0,0.0,0.0,0.0006555257
FAM81A,0.003440795,0.0,3.3288117e-05,0.0,0.0013554095,0.0
ZNF37A,0.56085974,0.6524346,0.8556025,1.0326288,0.91592574,0.63360107
